trans_time,amt,lat,long,city_pop,merch_lat,merch_long,is_fraud
0,14.37,64.7556,-165.6723,145,65.654142,-164.722603,1
15,966.11,64.7556,-165.6723,145,65.468863,-165.473127,1
22,49.61,64.7556,-165.6723,145,65.347667,-165.914542,1
23,295.26,64.7556,-165.6723,145,64.445035,-166.080207,1
23,18.17,64.7556,-165.6723,145,65.447094,-165.446843,1
3,20.45,64.7556,-165.6723,145,64.088838,-165.104078,1
3,18.19,64.7556,-165.6723,145,63.917785,-165.827621,1
11,367.29,40.029,-93.1607,602,39.167065,-93.705245,1
18,768.15,64.7556,-165.6723,145,64.623325,-166.403973,1
22,849.49,64.7556,-165.6723,145,65.266065,-164.865352,1
22,1177.79,40.029,-93.1607,602,39.288305,-92.476947,1
22,307.09,64.7556,-165.6723,145,64.909145,-164.712087,1
22,4.58,64.7556,-165.6723,145,65.052892,-166.067029,1
22,730.78,64.7556,-165.6723,145,65.233866,-166.550779,1
22,1006.4,64.7556,-165.6723,145,65.220316,-165.005725,1
22,830.72,64.7556,-165.6723,145,65.710538,-165.986117,1
23,311.92,64.7556,-165.6723,145,64.79501,-165.670735,1
23,762.93,40.029,-93.1607,602,40.205262,-93.499211,1
18,855.88,40.029,-93.1607,602,40.786018,-93.301092,1
23,909.29,40.029,-93.1607,602,40.977312,-93.55098,1
1,7.04,41.0233,-98.9041,2202,40.287778,-98.570998,1
15,644.4,41.0233,-98.9041,2202,40.834742,-99.895337,1
23,784.77,41.0233,-98.9041,2202,40.341318,-99.045651,1
23,1116.8,41.0233,-98.9041,2202,41.192006,-99.230584,1
0,320.6,41.0233,-98.9041,2202,41.867565,-99.096279,1
1,276.8,41.0233,-98.9041,2202,41.700959,-98.207349,1
2,336.2,41.0233,-98.9041,2202,41.965421,-98.334757,1
21,994.92,37.3304,-121.7913,973849,38.075623,-122.14827,1
22,1062.95,41.0233,-98.9041,2202,41.942402,-98.005584,1
22,770.94,41.0233,-98.9041,2202,41.569284,-98.87645,1
23,816.89,37.3304,-121.7913,973849,37.301768,-122.469759,1
23,510.59,41.0233,-98.9041,2202,41.213009,-98.097519,1
23,307.5,37.3304,-121.7913,973849,37.5925,-122.356511,1
23,790.35,37.3304,-121.7913,973849,37.033841,-121.371988,1
23,1065.43,41.0233,-98.9041,2202,41.880236,-98.612455,1
0,306.81,37.3304,-121.7913,973849,36.502259,-122.323669,1
0,12.57,37.3304,-121.7913,973849,36.860137,-122.217748,1
0,324.87,41.4193,-99.3844,73,41.603137,-99.129649,1
1,16.44,41.4193,-99.3844,73,40.869894,-99.153196,1
1,277.53,37.3304,-121.7913,973849,36.59875,-121.383937,1
2,13.2,41.4193,-99.3844,73,42.024265,-98.441592,1
8,12.95,41.4193,-99.3844,73,40.701366,-98.890275,1
9,8.25,37.3304,-121.7913,973849,37.259809,-121.89842,1
16,839.35,41.4193,-99.3844,73,42.337832,-99.34228,1
22,969.64,37.3304,-121.7913,973849,36.709536,-122.649175,1
23,1034.21,41.4193,-99.3844,73,41.12487,-100.349332,1
23,121.62,41.4193,-99.3844,73,40.544371,-98.726597,1
1,15.05,41.4193,-99.3844,73,42.015822,-98.943391,1
22,851.71,41.4193,-99.3844,73,40.461654,-98.987825,1
23,1124.01,41.4193,-99.3844,73,40.65072,-98.820629,1
23,1140.41,41.4193,-99.3844,73,41.151133,-99.38238,1
1,795.59,38.9999,-109.615,46,38.278335,-109.044284,1
8,9.79,38.9999,-109.615,46,39.157345,-109.126592,1
22,187.35,38.9999,-109.615,46,39.42207,-109.555496,1
22,564.34,38.9999,-109.615,46,38.435536,-109.844716,1
0,978.96,38.9999,-109.615,46,38.893999,-109.677707,1
3,849.79,38.9999,-109.615,46,38.376171,-110.36249,1
3,955.4,38.9999,-109.615,46,38.748484,-110.32181,1
14,21.54,38.9999,-109.615,46,38.211376,-109.986757,1
22,528.98,38.9999,-109.615,46,39.164469,-109.933543,1
22,21.23,38.9999,-109.615,46,38.998205,-110.005615,1
23,9.33,38.9999,-109.615,46,39.23064,-108.990363,1
23,386.91,38.9999,-109.615,46,39.262556,-109.656927,1
1,329.83,34.298,-114.156,126,35.269747,-115.001724,1
4,298.01,34.298,-114.156,126,34.068192,-113.412581,1
22,1043.38,34.298,-114.156,126,34.351802,-114.176826,1
22,1189.69,34.298,-114.156,126,34.327016,-114.299654,1
23,289.8,34.298,-114.156,126,34.11963,-114.068992,1
23,795.01,34.298,-114.156,126,34.922036,-113.901876,1
0,296.87,34.298,-114.156,126,33.352471,-113.515467,1
1,294.02,34.298,-114.156,126,33.868431,-114.495419,1
2,295.07,32.7185,-117.1593,1241364,32.136058,-118.113176,1
3,321.49,34.298,-114.156,126,35.181692,-115.067423,1
3,276.99,32.7185,-117.1593,1241364,32.602272,-117.826092,1
5,306.2,32.7185,-117.1593,1241364,31.874764,-117.478948,1
8,290.89,32.7185,-117.1593,1241364,31.881961,-117.269511,1
22,1005.31,32.7185,-117.1593,1241364,33.003474,-116.408968,1
22,287.42,34.298,-114.156,126,33.39735,-114.42256,1
23,1058.01,32.7185,-117.1593,1241364,33.259031,-117.083503,1
23,1037.0,32.7185,-117.1593,1241364,33.086398,-117.259417,1
1,285.88,32.7185,-117.1593,1241364,32.297113,-117.660065,1
1,731.6,32.7185,-117.1593,1241364,31.967624,-116.858395,1
3,326.94,32.7185,-117.1593,1241364,32.64137,-116.730718,1
23,715.29,32.7185,-117.1593,1241364,32.785261,-117.276053,1
0,986.53,38.7897,-93.8702,2368,39.42055,-94.27143,1
1,1041.76,38.7897,-93.8702,2368,38.85913,-93.019556,1
2,857.67,38.7897,-93.8702,2368,38.735425,-93.433279,1
22,241.08,38.7897,-93.8702,2368,38.291139,-93.380603,1
22,19.77,38.7897,-93.8702,2368,39.470802,-93.140293,1
23,540.67,38.7897,-93.8702,2368,39.287665,-94.091537,1
0,868.34,38.7897,-93.8702,2368,37.89086,-93.584179,1
2,291.92,38.3847,-121.9887,99475,38.308291,-121.577277,1
2,290.2,38.7897,-93.8702,2368,38.507573,-93.024078,1
17,820.25,38.3847,-121.9887,99475,38.391948,-121.021048,1
22,1084.55,38.3847,-121.9887,99475,38.962408,-121.301792,1
22,424.38,38.7897,-93.8702,2368,39.081379,-93.845355,1
23,474.24,38.7897,-93.8702,2368,38.219676,-92.956091,1
23,20.21,38.7897,-93.8702,2368,38.527335,-94.342242,1
23,8.57,38.3847,-121.9887,99475,37.871215,-122.115239,1
1,9.17,38.3847,-121.9887,99475,38.790493,-121.925421,1
3,259.96,38.3847,-121.9887,99475,38.608995,-121.863386,1
23,19.83,38.3847,-121.9887,99475,38.553685,-121.53418,1
6,304.08,45.3304,-118.0852,16955,44.559052,-117.642777,1
16,1105.42,45.3304,-118.0852,16955,45.594707,-117.573818,1
22,257.63,45.3304,-118.0852,16955,46.026023,-117.409519,1
22,942.0,45.3304,-118.0852,16955,44.4009,-118.984081,1
23,768.0,45.3304,-118.0852,16955,45.224147,-118.552234,1
23,309.02,38.046,-122.1866,198,37.964672,-122.708937,1
23,9.9,39.7795,-93.3014,964,39.169089,-93.078902,1
23,935.13,45.3304,-118.0852,16955,45.543601,-118.293693,1
23,1096.03,45.3304,-118.0852,16955,46.306316,-118.697593,1
23,719.82,39.7795,-93.3014,964,39.951004,-92.359492,1
0,6.79,39.7795,-93.3014,964,39.96651,-93.322742,1
0,290.65,39.7795,-93.3014,964,39.079825,-93.78391,1
1,9.91,45.3304,-118.0852,16955,44.945349,-118.11122,1
